Sequence,Function,Time
0,Proof,0.941667
1,Proof,0.961060
2,Proof,1.074131
3,Proof,0.982128
4,Proof,1.534413
5,Proof,1.527094
6,Proof,1.460489
7,Proof,2.444892
8,Proof,1.301274
9,Proof,1.123772
0,VerifyProof,2.205824
1,VerifyProof,2.519979
2,VerifyProof,2.923088
3,VerifyProof,2.269041
4,VerifyProof,2.281722
5,VerifyProof,2.340828
6,VerifyProof,2.548351
7,VerifyProof,2.198733
8,VerifyProof,2.616436
9,VerifyProof,2.961640
